Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,clean_text,normalized_comment,stopword_clean
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,1,1,0,0,0,0,0,1,1,0,0,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !,- disaat semua cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian yang saya kasih khusus ke elo. basic elo cowok bego ! ! !,disaat cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian saya kasih khusus elo. basic elo cowok bego ! ! !
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1,0,0,0,0,0,0,0,0,0,0,siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga,siapa yang telat ngasih tau elu?edan sarap saya bergaul dengan cigax jifla calis sama siapa noh licew juga,siapa telat ngasih tau elu?edan sarap saya bergaul cigax jifla calis sama siapa noh licew juga
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,0,0,0,0,0,0,0,0,0,0,"kadang aku berfikir, kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali-kali. kadang aku merasa tuhan itu ninggalkan aku sendirian. ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi kristen. ketika aku anak ter","kadang aku berfikir, kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali-kali. kadang aku merasa tuhan itu ninggalkan aku sendirian. ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi kristen. ketika aku anak ter","kadang aku berfikir, kenapa aku tetap percaya tuhan padahal aku selalu jatuh berkali-kali. kadang aku merasa tuhan ninggalkan aku sendirian. orangtuaku berencana berpisah, kakakku lebih memilih kristen. aku anak ter"
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,0,0,0,0,0,0,0,0,0,0,aku itu aku ku tau matamu sipit tapi diliat dari mana itu aku,aku itu aku ku tau matamu sipit tapi diliat dari mana itu aku,aku aku tau matamu sipit tapi diliat mana aku
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah,kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah,kaum cebong kapir udah keliatan dongoknya awal tambah dongok hahahah
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,ya bani taplak dkk,ya bani taplak dkk,bani taplak dkk
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilkada 2018 aman anti hoax warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,1,0,0,0,0,0,0,0,0,0,0,gue baru aja kelar re-watch aldnoah zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! xd,saya baru saja kelar re-watch aldnoah zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! xd,saya kelar re-watch aldnoah zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! xd
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",0,0,0,0,0,0,0,0,0,0,0,0,"nah admin belanja satu lagi port terbaik nak makan ais kepal milo, ais kepal horlicks atau cendol toping kaw kaw. ?? doket mano tu ? gerai rojak mertuaku - taipan 2 depan twins baby romantika bank islam senawang ???","nah admin belanja satu lagi port terbaik nak makan ais kepal milo, ais kepal horlicks atau cendol toping kaw kaw. ?? doket mano tu ? gerai rojak mertuaku - taipan 2 depan twins baby romantika bank islam senawang ???","nah admin belanja satu port terbaik nak makan ais kepal milo, ais kepal horlicks cendol toping kaw kaw. doket mano tu gerai rojak mertuaku taipan 2 depan twins baby romantika bank islam senawang"
USER Enak lg klo smbil ngewe',0,1,0,0,0,0,0,0,0,0,0,0,enak lg klo smbil ngewe,enak lg kalau smbil ngewe,enak lg kalau smbil ngewe
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,"setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu","setidaknya saya punya jari tengah buat lu, sebelom saya ukur nyali sama bacot lu","setidaknya saya punya jari tengah buat lu, sebelom saya ukur nyali sama bacot lu"
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0,banci kaleng malu ga bisa jawab pertanyaan kami dari 2 hari lalu.... nyungsep koe,banci kaleng malu tidak bisa jawab pertanyaan kami dari 2 hari lalu.... nyungsep kamu,banci kaleng malu tidak bisa jawab pertanyaan kami 2 hari lalu.... nyungsep kamu
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,0,0,0,0,0,0,kalo belajar ekonomi mestinya jago memprivatisasi hati orang. duh.. ironi,kalau belajar ekonomi mestinya jago memprivatisasi hati orang. duh.. ironi,kalau belajar ekonomi mestinya jago memprivatisasi hati orang. duh.. ironi
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi.... nyata,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi.... nyata,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi.... nyata
